Flight_no,Flight_Date,day_of_week,is_weekend,month_name,quarter_label,year,Carrier_Name,Carrier_Code,Origin_Airport_Code,Origin_Airport_Name,Destination_Airport_Code,Destination_Airport_Name,Route,Flight_Status,Tail_no,First_Class_Seats,Business_Class_Seats,Economy_Class_Seats,Total_Seats,Flown_Coupon_Count,Passenger_Count,Route_Traffic,Daily_Flight_Volume,Flight_Load_Factor_Pct
199,2025-04-05,Saturday,True,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,VT6238,13.0,40.0,296.0,349.0,247,247,493,22,70.77
367,2025-05-11,Sunday,True,May,Q2,2025,Star Air,XX,DXB,Dubai International Airport,ZRH,Zurich Airport (ZRH),DXB-ZRH,,,,,,,251,251,251,28,
822,2025-04-28,Monday,False,April,Q2,2025,Star Air,XX,LHE,Allama Iqbal International Airport,DXB,Dubai International Airport,LHE-DXB,,,,,,,219,219,219,19,
578,2025-04-28,Monday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,9V3090,14.0,20.0,288.0,322.0,245,245,245,19,76.09
499,2025-04-28,Monday,False,April,Q2,2025,Star Air,XX,HYD,Hyderabad - Rajiv Gandhi International Airport,DXB,Dubai International Airport,HYD-DXB,Active,C-F5692,10.0,32.0,292.0,334.0,263,263,263,19,78.74
731,2025-04-05,Saturday,True,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,YYZ,Toronto Pearson International Airport,DXB-YYZ,Active,A65203,13.0,32.0,283.0,328.0,227,227,227,22,69.21
685,2025-05-11,Sunday,True,May,Q2,2025,Star Air,XX,LHR,Heathrow Airport,DXB,Dubai International Airport,LHR-DXB,Active,9V6334,12.0,27.0,291.0,330.0,209,209,209,28,63.33
165,2025-04-05,Saturday,True,April,Q2,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,VT7158,7.0,26.0,293.0,326.0,255,255,255,22,78.22
386,2025-04-05,Saturday,True,April,Q2,2025,Star Air,XX,MIL,Milan–Malpensa Airport,DXB,Dubai International Airport,MIL-DXB,,,,,,,233,233,709,22,
456,2025-04-05,Saturday,True,April,Q2,2025,Star Air,XX,MIL,Milan–Malpensa Airport,DXB,Dubai International Airport,MIL-DXB,,,,,,,231,231,709,22,
246,2025-04-28,Monday,False,April,Q2,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,C-F3169,14.0,27.0,296.0,337.0,229,229,229,19,67.95
833,2025-04-05,Saturday,True,April,Q2,2025,Star Air,XX,ORD,O'Hare International Airport (ORD),DXB,Dubai International Airport,ORD-DXB,Active,VT7554,11.0,36.0,292.0,339.0,232,232,674,22,68.44
542,2025-04-05,Saturday,True,April,Q2,2025,Star Air,XX,ORD,O'Hare International Airport (ORD),DXB,Dubai International Airport,ORD-DXB,Active,9V3688,8.0,24.0,297.0,329.0,212,212,674,22,64.44
529,2025-04-05,Saturday,True,April,Q2,2025,Star Air,XX,ORD,O'Hare International Airport (ORD),DXB,Dubai International Airport,ORD-DXB,Active,9V2650,10.0,30.0,295.0,335.0,230,230,674,22,68.66
504,2025-04-28,Monday,False,April,Q2,2025,Star Air,XX,SIN,Singapore Changi Airport (SIN),DXB,Dubai International Airport,SIN-DXB,Active,D-A6921,9.0,28.0,295.0,332.0,258,258,516,19,77.71
709,2025-04-28,Monday,False,April,Q2,2025,Star Air,XX,SIN,Singapore Changi Airport (SIN),DXB,Dubai International Airport,SIN-DXB,Active,A68690,16.0,32.0,296.0,344.0,258,258,516,19,75.0
269,2025-05-11,Sunday,True,May,Q2,2025,Star Air,XX,SIN,Singapore Changi Airport (SIN),DXB,Dubai International Airport,SIN-DXB,Active,A68867,16.0,34.0,298.0,348.0,250,250,250,28,71.84
384,2025-04-28,Monday,False,April,Q2,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,230,230,230,19,
482,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,251,251,1228,25,
770,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,CDG,Charles de Gaulle Airport (CDG),DXB-CDG,,,,,,,224,224,224,25,
233,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,9V3030,8.0,27.0,299.0,334.0,257,257,257,25,76.95
524,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,,,,,,,230,230,230,25,
950,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,CDG,Charles de Gaulle Airport (CDG),DXB,Dubai International Airport,CDG-DXB,Active,A67616,6.0,30.0,291.0,327.0,241,241,241,25,73.7
153,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,242,242,242,25,
229,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BKK,Suvarnabhumi Airport,DXB-BKK,,,,,,,241,241,241,25,
719,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BOM,Chhatrapati Shivaji Maharaj International Airport,DXB-BOM,,,,,,,242,242,242,25,
989,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,COK,Cochin International Airport,DXB-COK,,,,,,,242,242,242,25,
545,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,CCU,Netaji Subhas Chandra Bose International Airport,DXB-CCU,,,,,,,242,242,242,25,
926,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,CPT,Cape Town International Airport,DXB-CPT,,,,,,,253,253,253,25,
822,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,LHE,Allama Iqbal International Airport,DXB-LHE,Active,D-A3227,13.0,37.0,282.0,332.0,244,244,244,25,73.49
384,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,,,,,,,245,245,490,25,
982,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,A66800,7.0,27.0,300.0,334.0,245,245,490,25,73.35
924,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,HAN,Noi Bai International Airport,DXB,Dubai International Airport,HAN-DXB,,,,,,,252,252,252,25,
772,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,D-A9113,12.0,25.0,296.0,333.0,250,250,500,25,75.08
850,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,9V2007,7.0,22.0,294.0,323.0,250,250,500,25,77.4
840,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,MRU,Sir Seewoosagur Ramgoolam International Airport,DXB,Dubai International Airport,MRU-DXB,,,,,,,247,247,247,25,
846,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,MIL,Milan–Malpensa Airport,DXB,Dubai International Airport,MIL-DXB,,,,,,,233,233,233,25,
672,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,SYD,Sydney Kingsford Smith Airport (SYD),DXB,Dubai International Airport,SYD-DXB,Active,VT1318,10.0,23.0,299.0,332.0,254,254,505,25,76.51
343,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,SYD,Sydney Kingsford Smith Airport (SYD),DXB,Dubai International Airport,SYD-DXB,,,,,,,251,251,505,25,
825,2025-11-18,Tuesday,False,November,Q4,2025,Star Air,XX,DXB,Dubai International Airport,COK,Cochin International Airport,DXB-COK,,,,,,,247,247,247,23,
482,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,D-A7888,13.0,33.0,294.0,340.0,240,240,719,29,70.59
685,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,LHR,Heathrow Airport,DXB,Dubai International Airport,LHR-DXB,Active,9V6334,12.0,27.0,291.0,330.0,252,252,252,29,76.36
811,2025-11-18,Tuesday,False,November,Q4,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,Active,C-F2813,10.0,32.0,284.0,326.0,229,229,711,23,70.25
924,2025-11-18,Tuesday,False,November,Q4,2025,Star Air,XX,HAN,Noi Bai International Airport,DXB,Dubai International Airport,HAN-DXB,,,,,,,267,267,267,23,
650,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,246,246,1228,25,
702,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,248,248,1228,25,
680,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,235,235,1228,25,
446,2025-07-31,Thursday,False,July,Q3,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,248,248,1228,25,
719,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,BOM,Chhatrapati Shivaji Maharaj International Airport,DXB,Dubai International Airport,BOM-DXB,Active,9V9786,7.0,25.0,298.0,330.0,238,238,238,29,72.12
153,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,C-F2358,6.0,36.0,296.0,338.0,247,247,247,29,73.08
229,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,Active,C-F4000,13.0,29.0,300.0,342.0,244,244,244,29,71.35
333,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,,,,,,,248,248,499,29,
480,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,Active,C-F7281,7.0,21.0,293.0,321.0,251,251,499,29,78.19
197,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,BHX,Birmingham,DXB,Dubai International Airport,BHX-DXB,,,,,,,265,265,265,29,
242,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,Active,C-F4171,11.0,36.0,293.0,340.0,267,267,535,29,78.53
574,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,LGW,London Gatwick Airport,DXB,Dubai International Airport,LGW-DXB,,,,,,,269,269,269,29,
989,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,Active,A64903,10.0,26.0,282.0,318.0,268,268,535,29,84.28
225,2025-11-18,Tuesday,False,November,Q4,2025,Star Air,XX,DFW,Dallas/Fort Worth International Airport (DFW,DXB,Dubai International Airport,DFW-DXB,Active,A64597,9.0,40.0,297.0,346.0,247,247,247,23,71.39
223,2025-11-18,Tuesday,False,November,Q4,2025,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,,,,,,,246,246,500,23,
385,2025-11-18,Tuesday,False,November,Q4,2025,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,,,,,,,254,254,500,23,
457,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,DXB,Dubai International Airport,AKL,Auckland Airport,DXB-AKL,,,,,,,240,240,240,29,
926,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,Active,D-A9092,13.0,37.0,292.0,342.0,253,253,493,29,73.98
667,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,,,,,,,240,240,493,29,
445,2025-11-18,Tuesday,False,November,Q4,2025,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,Active,D-A5874,9.0,22.0,296.0,327.0,238,238,238,23,72.78
270,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,DXB,Dubai International Airport,BKK,Suvarnabhumi Airport,DXB-BKK,,,,,,,250,250,250,29,
696,2025-11-09,Sunday,True,November,Q4,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,233,233,233,29,
760,2025-11-18,Tuesday,False,November,Q4,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,239,239,711,23,
603,2025-11-18,Tuesday,False,November,Q4,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,243,243,711,23,
811,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,Active,C-F2813,10.0,32.0,284.0,326.0,258,258,522,23,79.14
653,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,SVO,Sheremetyevo International Airport,DXB,Dubai International Airport,SVO-DXB,,,,,,,262,262,262,13,
825,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,DXB,Dubai International Airport,COK,Cochin International Airport,DXB-COK,,,,,,,254,254,254,23,
310,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,IAH,George Bush Intercontinental Airport,DXB,Dubai International Airport,IAH-DXB,Active,C-F1585,12.0,20.0,299.0,331.0,264,264,264,20,79.76
231,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,D-A7710,7.0,37.0,275.0,319.0,255,255,255,13,79.94
181,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,DXB,Dubai International Airport,ZRH,Zurich Airport (ZRH),DXB-ZRH,,,,,,,239,239,239,23,
722,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,VT4814,7.0,32.0,296.0,335.0,264,264,264,20,78.81
307,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,9V3296,13.0,22.0,299.0,334.0,261,261,261,13,78.14
229,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,Active,C-F4000,13.0,29.0,300.0,342.0,256,256,256,20,74.85
453,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,MUC,Munich Airport (MUC),DXB,Dubai International Airport,MUC-DXB,,,,,,,234,234,234,20,
989,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,Active,A64903,10.0,26.0,282.0,318.0,253,253,253,20,79.56
223,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,,,,,,,268,268,524,23,
385,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,,,,,,,256,256,524,23,
270,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,BKK,Suvarnabhumi Airport,DXB-BKK,,,,,,,255,255,255,20,
667,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,,,,,,,256,256,505,20,
926,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,Active,D-A9092,13.0,37.0,292.0,342.0,249,249,505,20,72.81
225,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,DFW,Dallas/Fort Worth International Airport (DFW,DXB,Dubai International Airport,DFW-DXB,Active,A64597,9.0,40.0,297.0,346.0,241,241,241,23,69.65
603,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,264,264,522,23,
445,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,Active,D-A5874,9.0,22.0,296.0,327.0,256,256,256,23,78.29
233,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,263,263,263,13,
405,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,CCU,Netaji Subhas Chandra Bose International Airport,DXB-CCU,,,,,,,205,205,205,20,
163,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,DXB,Dubai International Airport,BKK,Suvarnabhumi Airport,DXB-BKK,,,,,,,245,245,245,23,
524,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,COK,Cochin International Airport,DXB-COK,Active,D-A4304,12.0,29.0,300.0,341.0,237,237,482,20,69.5
478,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,COK,Cochin International Airport,DXB-COK,Active,A65206,6.0,33.0,286.0,325.0,245,245,482,20,75.38
339,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,CHC,Christchurch Airport,DXB-CHC,,,,,,,246,246,246,20,
892,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,DFW,Dallas/Fort Worth International Airport (DFW,DXB-DFW,Active,D-A8009,8.0,37.0,292.0,337.0,252,252,252,13,74.78
735,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,JNB,Tambo International Airport,DXB-JNB,Active,VT6998,6.0,28.0,298.0,332.0,240,240,240,20,72.29
850,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,MEL,Melbourne Airport (MEL),DXB-MEL,,,,,,,258,258,258,13,
907,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,DXB,Dubai International Airport,MEL,Melbourne Airport (MEL),DXB-MEL,,,,,,,243,243,243,23,
840,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,MRU,Sir Seewoosagur Ramgoolam International Airport,DXB-MRU,Active,D-A9398,7.0,34.0,290.0,331.0,262,262,262,20,79.15
597,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,SIN,Singapore Changi Airport (SIN),DXB-SIN,,,,,,,257,257,257,20,
815,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,DXB,Dubai International Airport,MRU,Sir Seewoosagur Ramgoolam International Airport,DXB-MRU,Active,9V2606,6.0,25.0,286.0,317.0,246,246,246,23,77.6
531,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,DXB,Dubai International Airport,SYD,Sydney Kingsford Smith Airport (SYD),DXB-SYD,,,,,,,263,263,522,23,
567,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,DXB,Dubai International Airport,SYD,Sydney Kingsford Smith Airport (SYD),DXB-SYD,,,,,,,259,259,522,23,
817,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,DXB,Dubai International Airport,SIN,Singapore Changi Airport (SIN),DXB-SIN,,,,,,,243,243,243,23,
672,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,SYD,Sydney Kingsford Smith Airport (SYD),DXB-SYD,,,,,,,260,260,260,13,
482,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,D-A7888,13.0,33.0,294.0,340.0,254,254,505,20,74.71
399,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,C-F7126,16.0,38.0,300.0,354.0,251,251,505,20,70.9
404,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,9V7174,11.0,23.0,295.0,329.0,263,263,521,13,79.94
578,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,9V3090,14.0,20.0,288.0,322.0,258,258,521,13,80.12
895,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,JFK,John F. Kennedy International Airport (JFK),DXB,Dubai International Airport,JFK-DXB,,,,,,,241,241,241,23,
433,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,KHI,Jinnah International Airport,DXB,Dubai International Airport,KHI-DXB,,,,,,,250,250,250,20,
195,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,KHI,Jinnah International Airport,DXB,Dubai International Airport,KHI-DXB,,,,,,,266,266,266,13,
822,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,LHE,Allama Iqbal International Airport,DXB,Dubai International Airport,LHE-DXB,,,,,,,268,268,268,13,
623,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,LHE,Allama Iqbal International Airport,DXB,Dubai International Airport,LHE-DXB,,,,,,,261,261,261,23,
796,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,MAA,Chennai International Airport,DXB,Dubai International Airport,MAA-DXB,,,,,,,262,262,262,23,
342,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,ORD,O'Hare International Airport (ORD),DXB,Dubai International Airport,ORD-DXB,Active,9V4480,7.0,34.0,289.0,330.0,256,256,256,20,77.58
651,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,MIL,Milan–Malpensa Airport,DXB,Dubai International Airport,MIL-DXB,,,,,,,254,254,254,23,
808,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,PEW,Bacha Khan International Airport,DXB,Dubai International Airport,PEW-DXB,,,,,,,235,235,235,23,
269,2025-03-02,Sunday,True,March,Q1,2025,Star Air,XX,SIN,Singapore Changi Airport (SIN),DXB,Dubai International Airport,SIN-DXB,Active,A68867,16.0,34.0,298.0,348.0,251,251,251,20,72.13
137,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,SYD,Sydney Kingsford Smith Airport (SYD),DXB,Dubai International Airport,SYD-DXB,,,,,,,244,244,740,23,
383,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,SYD,Sydney Kingsford Smith Airport (SYD),DXB,Dubai International Airport,SYD-DXB,Active,A69316,7.0,37.0,294.0,338.0,246,246,740,23,72.78
706,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,SYD,Sydney Kingsford Smith Airport (SYD),DXB,Dubai International Airport,SYD-DXB,,,,,,,250,250,740,23,
709,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,SIN,Singapore Changi Airport (SIN),DXB,Dubai International Airport,SIN-DXB,Active,A68690,16.0,32.0,296.0,344.0,260,260,260,13,75.58
924,2025-05-13,Tuesday,False,May,Q2,2025,Star Air,XX,HAN,Noi Bai International Airport,DXB,Dubai International Airport,HAN-DXB,,,,,,,259,259,259,23,
246,2025-05-26,Monday,False,May,Q2,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,C-F3169,14.0,27.0,296.0,337.0,247,247,476,19,73.29
819,2025-06-21,Saturday,True,June,Q2,2025,Star Air,XX,BOM,Chhatrapati Shivaji Maharaj International Airport,DXB,Dubai International Airport,BOM-DXB,Active,9V8060,6.0,30.0,290.0,326.0,252,252,252,22,77.3
225,2025-10-11,Saturday,True,October,Q4,2025,Star Air,XX,DXB,Dubai International Airport,DFW,Dallas/Fort Worth International Airport (DFW,DXB-DFW,,,,,,,210,210,210,24,
235,2025-06-21,Saturday,True,June,Q2,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,A64657,16.0,34.0,295.0,345.0,242,242,703,22,70.14
658,2025-06-21,Saturday,True,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,CHC,Christchurch Airport,DXB-CHC,Active,VT2581,14.0,37.0,295.0,346.0,239,239,239,22,69.08
811,2025-05-13,Tuesday,False,May,Q2,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,Active,C-F2813,10.0,32.0,284.0,326.0,230,230,944,23,70.55
181,2025-05-13,Tuesday,False,May,Q2,2025,Star Air,XX,DXB,Dubai International Airport,ZRH,Zurich Airport (ZRH),DXB-ZRH,,,,,,,249,249,249,23,
912,2025-05-26,Monday,False,May,Q2,2025,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,,,,,,,241,241,241,19,
625,2025-05-13,Tuesday,False,May,Q2,2025,Star Air,XX,DXB,Dubai International Airport,BKK,Suvarnabhumi Airport,DXB-BKK,,,,,,,245,245,245,23,
653,2025-05-26,Monday,False,May,Q2,2025,Star Air,XX,SVO,Sheremetyevo International Airport,DXB,Dubai International Airport,SVO-DXB,,,,,,,249,249,249,19,
910,2025-05-19,Monday,False,May,Q2,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,D-A4924,15.0,29.0,294.0,338.0,251,251,488,17,74.26
225,2025-06-21,Saturday,True,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,DFW,Dallas/Fort Worth International Airport (DFW,DXB-DFW,,,,,,,179,179,179,22,
701,2025-05-13,Tuesday,False,May,Q2,2025,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,Active,C-F7292,9.0,35.0,296.0,340.0,237,237,237,23,69.71
748,2025-01-21,Tuesday,False,January,Q1,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,247,247,247,23,
876,2025-06-21,Saturday,True,June,Q2,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,A69973,6.0,29.0,299.0,334.0,233,233,703,22,69.76
982,2025-03-03,Monday,False,March,Q1,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,266,266,266,13,
811,2025-06-21,Saturday,True,June,Q2,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,,,,,,,228,228,703,22,
348,2025-05-19,Monday,False,May,Q2,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,9V6960,9.0,26.0,296.0,331.0,249,249,249,17,75.23
420,2025-05-19,Monday,False,May,Q2,2025,Star Air,XX,CMB,Bandaranaike International Airport (CMB),DXB,Dubai International Airport,CMB-DXB,Active,D-A9861,8.0,24.0,292.0,324.0,238,238,238,17,73.46
