Flight_Date,month_name,quarter_label,year,Carrier_Name,Carrier_Code,Flight_no,Route,Origin_Airport_Name,Destination_Airport_Name,Flight_Details_Flag,Flight_Status,Carrier_Type,Passenger_Count,Coupon_Count,First_Class_Seats,Business_Class_Seats,Economy_Class_Seats,Total_Seats,Load_Factor_Pct,Starair_Revenue_AED,Starair_Net_Revenue_AED,Starair_Commission_AED,Starair_Discount_AED,Starair_Tax_AED,Starair_Tickets_Sold,Inward_Billed_Amount,Inward_Billed_Commission,Inward_Accepted_Amount,Inward_Accepted_Commission,Inward_Rejected_Amount,Inward_Rejected_Commission,Inward_Ticket_Count,Inward_Acceptance_Rate_Pct,Settlement_Sale_Value,Settlement_Billing_Value,Settlement_Invoice_Count,Settlement_Ticket_Count,Settlement_Variance
2025-11-12,November,Q4,2025,Star Air,XX,998,LHE-DXB,Allama Iqbal International Airport,Dubai International Airport,Not Available,null,Star Air,239,239,null,null,null,0,null,null,null,null,null,null,null,1014470.00,60868.20,856201.63,51372.05,158268.38,9496.15,1699,84.40,382890323.00,382890323.00,2837,8014,0.00
2025-12-04,December,Q4,2025,Star Air,XX,399,YUL-DXB,Montréal–Trudeau International Airport,Dubai International Airport,Not Available,null,Star Air,234,234,null,null,null,0,null,null,null,null,null,null,null,1359050.00,81543.00,1148163.19,68889.84,210886.81,12653.16,2352,84.48,91993584.00,91993584.00,1202,1915,0.00
2025-11-05,November,Q4,2025,Star Air,XX,222,YUL-DXB,Montréal–Trudeau International Airport,Dubai International Airport,Not Available,null,Star Air,245,245,null,null,null,0,null,null,null,null,null,null,null,1059890.00,63593.40,900772.20,54046.20,159117.81,9547.20,1436,84.99,565447747.00,565447747.00,3717,13178,0.00
2025-07-26,July,Q3,2025,Star Air,XX,658,DXB-CHC,Dubai International Airport,Christchurch Airport,Available,Active,Star Air,246,246,14,37,295,346,71.10,255983.00000000,237028.0200000,15358.98000000,3596.00000000,43517.04000000,246,1424110.00,85446.60,1205189.50,72311.33,218920.50,13135.27,2206,84.63,365964023.00,365964023.00,3089,9675,0.00
2025-03-14,March,Q1,2025,Star Air,XX,603,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,242,242,7,25,297,329,73.56,410472.54459000,378618.0530738,24628.35267540,7226.13884000,77991.33618296,242,594045.00,35642.70,502977.23,30178.50,91067.77,5464.20,1501,84.67,189125888.00,189125888.00,1526,2800,0.00
2025-04-08,April,Q2,2025,Star Air,XX,181,DXB-ZRH,Dubai International Airport,Zurich Airport (ZRH),Not Available,null,Star Air,206,206,null,null,null,0,null,null,null,null,null,null,null,1234630.00,74077.80,1050434.17,63094.22,184195.83,10983.58,1961,85.08,98403819.00,98403819.00,1439,2604,0.00
2025-04-22,April,Q2,2025,Star Air,XX,137,SYD-DXB,Sydney Kingsford Smith Airport (SYD),Dubai International Airport,Not Available,null,Star Air,238,238,null,null,null,0,null,null,null,null,null,null,null,1601595.00,96095.70,1353812.99,80029.10,247782.01,16066.60,2904,84.53,46992190.00,46992190.00,1343,2369,0.00
2025-08-24,August,Q3,2025,Star Air,XX,405,DXB-CCU,Dubai International Airport,Netaji Subhas Chandra Bose International Airport,Not Available,null,Star Air,227,227,null,null,null,0,null,null,null,null,null,null,null,2028760.00,121725.60,1724129.34,103447.86,304630.67,18277.74,2460,84.98,670522240.00,670522240.00,3114,9645,0.00
2026-01-28,January,Q1,2026,Star Air,XX,551,DXB-MAA,Dubai International Airport,Chennai International Airport,Not Available,null,Star Air,226,226,null,null,null,0,null,null,null,null,null,null,null,1029505.00,61770.30,866649.08,51998.86,162855.92,9771.44,1474,84.18,78738240.00,78738240.00,1009,1516,0.00
2026-01-01,January,Q1,2026,Star Air,XX,982,DXB-YUL,Dubai International Airport,Montréal–Trudeau International Airport,Available,Active,Star Air,254,254,7,27,300,334,76.05,214031.00000000,198596.1400000,12841.86000000,2593.00000000,21403.72000000,254,921135.00,55268.10,776339.12,46580.26,144795.88,8687.84,1687,84.28,38170189.00,38170189.00,973,1472,0.00
2025-11-14,November,Q4,2025,Star Air,XX,808,DXB-PEW,Dubai International Airport,Bacha Khan International Airport,Available,Active,Star Air,245,245,16,30,296,342,71.64,323772.00000000,108939.6800000,19426.32000000,195406.00000000,19426.10000000,245,700165.00,42009.90,595984.21,35758.96,104180.79,6250.94,1252,85.12,215548863.00,215548863.00,2491,6389,0.00
2026-03-17,March,Q1,2026,Star Air,XX,597,SIN-DXB,Singapore Changi Airport (SIN),Dubai International Airport,Available,Active,Star Air,264,264,10,40,295,345,76.52,352896.42168100,323397.1682059,21173.78530086,8325.46817500,42349.56853448,264,1498555.00,89913.30,1267629.04,76057.68,230925.97,13855.62,2154,84.59,37162518.00,37162518.00,828,1131,0.00
2025-01-22,January,Q1,2025,Star Air,XX,333,DXB-CCU,Dubai International Airport,Netaji Subhas Chandra Bose International Airport,Available,Active,Star Air,248,248,10,21,299,330,75.15,228543.00000000,211171.4200000,13712.58000000,3659.00000000,25140.01000000,248,812405.00,48744.30,687408.97,41244.61,124996.03,7499.69,1465,84.61,88391402.00,88391402.00,1514,2793,0.00
2025-03-29,March,Q1,2025,Star Air,XX,199,DXB-YUL,Dubai International Airport,Montréal–Trudeau International Airport,Available,Active,Star Air,258,258,13,40,296,349,73.93,249276.00000000,229706.4400000,14956.56000000,4613.00000000,27420.59000000,258,1374440.00,82466.40,1165960.58,69957.64,208479.42,12508.76,2734,84.83,82420577.00,82420577.00,1508,2699,0.00
2025-04-11,April,Q2,2025,Star Air,XX,137,DXB-SYD,Dubai International Airport,Sydney Kingsford Smith Airport (SYD),Available,Active,Star Air,244,244,8,25,287,320,76.25,678271.00000000,628415.7400000,40696.26000000,9159.00000000,128871.17000000,244,743385.00,44603.10,626309.78,37578.54,117075.22,7024.56,1682,84.25,90091372.00,90091372.00,1403,2577,0.00
2025-08-21,August,Q3,2025,Star Air,XX,883,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,242,242,8,27,298,333,72.67,435497.89805500,403342.8867310,26129.87388330,6025.13744000,82743.99289555,242,1122100.00,67326.00,946100.89,56766.11,175999.12,10559.89,1711,84.32,495021291.00,495021291.00,3199,9645,0.00
2025-09-18,September,Q3,2025,Star Air,XX,772,MEL-DXB,Melbourne Airport (MEL),Dubai International Airport,Available,Active,Star Air,248,248,12,25,296,333,74.47,996844.37664200,922179.4124812,59810.66259852,14854.30156200,179430.86011934,248,1066865.00,64011.90,897238.82,53834.46,169626.19,10177.44,1625,84.10,529258674.00,529258674.00,3386,10682,0.00
2026-03-14,March,Q1,2026,Star Air,XX,640,DXB-SIN,Dubai International Airport,Singapore Changi Airport (SIN),Available,Active,Star Air,229,229,6,27,292,325,70.46,283401.00000000,262526.9400000,17004.06000000,3870.00000000,34008.56000000,229,913720.00,54823.20,772101.54,46326.02,141618.46,8497.18,1222,84.50,82635310.00,82635310.00,848,1194,0.00
2025-01-09,January,Q1,2025,Star Air,XX,478,COK-DXB,Cochin International Airport,Dubai International Airport,Not Available,null,Star Air,234,234,null,null,null,0,null,null,null,null,null,null,null,998510.00,59910.60,845183.26,50710.83,153326.74,9199.77,1764,84.64,88915496.00,88915496.00,1507,2811,0.00
2026-03-01,March,Q1,2026,Star Air,XX,422,YYZ-DXB,Toronto Pearson International Airport,Dubai International Airport,Available,Active,Star Air,257,257,16,32,297,345,74.49,1030465.29937900,951605.9436841,61827.91796274,17031.43773200,113354.87301091,257,2496915.00,149814.90,2116435.15,126985.91,380479.86,22828.99,3916,84.76,349556560.00,349556560.00,1507,2767,0.00
2025-09-28,September,Q3,2025,Star Air,XX,597,DXB-SIN,Dubai International Airport,Singapore Changi Airport (SIN),Not Available,null,Star Air,248,248,null,null,null,0,null,null,null,null,null,null,null,1230055.00,73803.30,1041120.32,62467.00,188934.70,11336.30,1721,84.64,504034511.00,504034511.00,3409,11162,0.00
2025-05-22,May,Q2,2025,Star Air,XX,480,DXB-CCU,Dubai International Airport,Netaji Subhas Chandra Bose International Airport,Not Available,null,Star Air,238,238,null,null,null,0,null,null,null,null,null,null,null,1450990.00,87059.40,1225136.12,68281.84,225853.91,18777.56,1635,84.43,848349605.00,848349605.00,3935,15718,0.00
2025-08-20,August,Q3,2025,Star Air,XX,574,DXB-LGW,Dubai International Airport,London Gatwick Airport,Available,Active,Star Air,251,251,7,27,293,327,76.76,252187.00000000,232974.7800000,15131.22000000,4081.00000000,15130.69000000,251,857380.00,51442.80,723369.69,43402.27,134010.33,8040.53,1717,84.37,509626145.00,509626145.00,3114,9454,0.00
2025-08-27,August,Q3,2025,Star Air,XX,529,DXB-ORD,Dubai International Airport,O'Hare International Airport (ORD),Not Available,null,Star Air,224,224,null,null,null,0,null,null,null,null,null,null,null,1060930.00,63655.80,899876.07,53992.59,161053.94,9663.21,1473,84.82,485752297.00,485752297.00,3174,9718,0.00
2026-01-13,January,Q1,2026,Star Air,XX,603,DXB-BNE,Dubai International Airport,Brisbane Airport (BNE),Not Available,null,Star Air,238,238,null,null,null,0,null,null,null,null,null,null,null,1094965.00,65697.90,923068.06,55384.04,171896.94,10313.86,1934,84.30,81175627.00,81175627.00,981,1515,0.00
2026-03-15,March,Q1,2026,Star Air,XX,277,PEW-DXB,Bacha Khan International Airport,Dubai International Airport,Not Available,null,Star Air,250,250,null,null,null,0,null,null,null,null,null,null,null,817390.00,49043.40,692272.44,41536.34,125117.56,7507.06,1476,84.69,72036430.00,72036430.00,835,1197,0.00
2026-01-01,January,Q1,2026,Star Air,XX,653,DXB-SVO,Dubai International Airport,Sheremetyevo International Airport,Available,Active,Star Air,242,242,6,21,294,321,75.39,314595.00000000,292456.3000000,18875.70000000,3263.00000000,28313.51000000,242,921135.00,55268.10,776339.12,46580.26,144795.88,8687.84,1687,84.28,38170189.00,38170189.00,973,1472,0.00
2025-11-20,November,Q4,2025,Star Air,XX,982,DXB-YUL,Dubai International Airport,Montréal–Trudeau International Airport,Available,Active,Star Air,233,233,7,27,300,334,69.76,211116.00000000,196360.0400000,12666.96000000,2089.00000000,21110.99000000,233,1323435.00,79406.10,1116661.83,66999.48,206773.17,12406.62,1909,84.38,120204279.00,120204279.00,1213,1992,0.00
2025-01-12,January,Q1,2025,Star Air,XX,680,DXB-YUL,Dubai International Airport,Montréal–Trudeau International Airport,Available,Active,Star Air,212,212,15,32,292,339,62.54,189460.00000000,174963.4000000,11367.60000000,3129.00000000,17051.53000000,212,1159370.00,69562.20,979170.12,58750.41,180199.88,10811.79,1765,84.46,101653160.00,101653160.00,1471,2758,0.00
2025-02-14,February,Q1,2025,Star Air,XX,531,SYD-DXB,Sydney Kingsford Smith Airport (SYD),Dubai International Airport,Available,Active,Star Air,247,247,7,26,295,328,75.30,595553.21880900,551956.0849412,35733.19312854,7863.94074000,107197.38471194,247,932165.00,55929.90,790316.75,47418.78,141848.25,8511.12,2035,84.78,66074484.00,66074484.00,1539,2914,0.00
2025-10-20,October,Q4,2025,Star Air,XX,912,COK-DXB,Cochin International Airport,Dubai International Airport,Not Available,null,Star Air,239,239,null,null,null,0,null,null,null,null,null,null,null,881495.00,52889.70,741057.41,44463.30,140437.59,8426.40,1717,84.07,790301947.00,790301947.00,3780,13926,0.00
2025-06-21,June,Q2,2025,Star Air,XX,952,DXB-SYD,Dubai International Airport,Sydney Kingsford Smith Airport (SYD),Not Available,null,Star Air,242,242,null,null,null,0,null,null,null,null,null,null,null,1022490.00,61349.40,869023.57,51876.38,153466.43,9473.02,1656,84.99,552978537.00,552978537.00,3479,11399,0.00
2025-11-28,November,Q4,2025,Star Air,XX,578,YUL-DXB,Montréal–Trudeau International Airport,Dubai International Airport,Not Available,null,Star Air,251,251,null,null,null,0,null,null,null,null,null,null,null,1245255.00,74715.30,1052268.76,63136.09,192986.25,11579.21,2701,84.50,68177061.00,68177061.00,1198,1969,0.00
2025-07-17,July,Q3,2025,Star Air,XX,650,YUL-DXB,Montréal–Trudeau International Airport,Dubai International Airport,Not Available,null,Star Air,246,246,null,null,null,0,null,null,null,null,null,null,null,1678900.00,100734.00,1421606.18,85296.43,257293.82,15437.57,2186,84.67,491267394.00,491267394.00,3245,10166,0.00
2025-02-04,February,Q1,2025,Star Air,XX,625,DXB-BKK,Dubai International Airport,Suvarnabhumi Airport,Not Available,null,Star Air,244,244,null,null,null,0,null,null,null,null,null,null,null,1381815.00,82908.90,1169411.66,70164.79,212403.34,12744.11,2552,84.63,120782010.00,120782010.00,1522,2867,0.00
2025-05-03,May,Q2,2025,Star Air,XX,130,DXB-BNE,Dubai International Airport,Brisbane Airport (BNE),Available,Active,Star Air,250,250,6,28,292,326,76.69,488915.00000000,454148.1000000,29334.90000000,5432.00000000,97782.93000000,250,921550.00,55293.00,780766.94,46059.21,140783.06,9233.79,1714,84.72,225970730.00,225970730.00,1767,3652,0.00
2025-06-18,June,Q2,2025,Star Air,XX,253,DXB-MRU,Dubai International Airport,Sir Seewoosagur Ramgoolam International Airport,Not Available,null,Star Air,243,243,null,null,null,0,null,null,null,null,null,null,null,1808635.00,108518.10,1527974.94,88509.18,280660.06,20008.92,2317,84.48,742481574.00,742481574.00,3456,11648,0.00
2025-07-14,July,Q3,2025,Star Air,XX,672,DXB-SYD,Dubai International Airport,Sydney Kingsford Smith Airport (SYD),Not Available,null,Star Air,250,250,null,null,null,0,null,null,null,null,null,null,null,802755.00,48165.30,682556.49,40953.54,120198.51,7211.76,1223,85.03,696711884.00,696711884.00,3266,10166,0.00
2025-07-07,July,Q3,2025,Star Air,XX,504,SIN-DXB,Singapore Changi Airport (SIN),Dubai International Airport,Available,Active,Star Air,251,251,9,28,295,332,75.60,341789.12427900,315979.9814765,20507.34745674,5301.79534500,41013.71699489,251,236640.00,14198.40,200872.37,12052.35,35767.63,2146.05,746,84.89,509547132.00,509547132.00,3329,10468,0.00
2025-01-04,January,Q1,2025,Star Air,XX,815,MRU-DXB,Sir Seewoosagur Ramgoolam International Airport,Dubai International Airport,Not Available,null,Star Air,256,256,null,null,null,0,null,null,null,null,null,null,null,863960.00,51837.60,731887.85,43912.89,132072.15,7924.71,1980,84.71,107546723.00,107546723.00,1532,2817,0.00
2025-07-27,July,Q3,2025,Star Air,XX,436,DXB-MEL,Dubai International Airport,Melbourne Airport (MEL),Not Available,null,Star Air,253,253,null,null,null,0,null,null,null,null,null,null,null,2491775.00,149506.50,2104564.54,126273.71,387210.46,23232.79,2947,84.46,712058385.00,712058385.00,3169,9708,0.00
2025-11-28,November,Q4,2025,Star Air,XX,603,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,240,240,7,25,297,329,72.95,405317.83201700,370745.0565807,24319.06992102,10253.70551500,77009.55584512,240,1245255.00,74715.30,1052268.76,63136.09,192986.25,11579.21,2701,84.50,68177061.00,68177061.00,1198,1969,0.00
2025-11-10,November,Q4,2025,Star Air,XX,499,HYD-DXB,Hyderabad - Rajiv Gandhi International Airport,Dubai International Airport,Available,Active,Star Air,265,265,10,32,292,334,79.34,242499.93667900,225719.2384376,14549.99620074,2230.70204000,12125.00445321,265,563435.00,33806.10,478081.10,28684.88,85353.90,5121.22,934,84.85,427913744.00,427913744.00,3135,9587,0.00
2025-07-24,July,Q3,2025,Star Air,XX,629,DXB-MIL,Dubai International Airport,Milan–Malpensa Airport,Not Available,null,Star Air,229,229,null,null,null,0,null,null,null,null,null,null,null,955980.00,57358.80,810037.27,48602.25,145942.73,8756.55,1452,84.73,513732783.00,513732783.00,3176,9765,0.00
2025-03-10,March,Q1,2025,Star Air,XX,560,DXB-FRA,Dubai International Airport,Frankfurt Airport (FRA),Not Available,null,Star Air,260,260,null,null,null,0,null,null,null,null,null,null,null,704200.00,42252.00,598278.97,35896.72,105921.03,6355.28,1245,84.96,132429763.00,132429763.00,1507,2848,0.00
2025-12-22,December,Q4,2025,Star Air,XX,560,DXB-FRA,Dubai International Airport,Frankfurt Airport (FRA),Not Available,null,Star Air,248,248,null,null,null,0,null,null,null,null,null,null,null,137305.00,8238.30,117602.17,7056.08,19702.83,1182.22,254,85.65,93383554.00,93383554.00,1112,1814,0.00
2025-04-13,April,Q2,2025,Star Air,XX,667,CPT-DXB,Cape Town International Airport,Dubai International Airport,Not Available,null,Star Air,218,218,null,null,null,0,null,null,null,null,null,null,null,1726240.00,103574.40,1454612.63,87276.39,271627.37,16298.01,2153,84.26,134320486.00,134320486.00,1413,2540,0.00
2025-12-17,December,Q4,2025,Star Air,XX,394,KHI-DXB,Jinnah International Airport,Dubai International Airport,Not Available,null,Star Air,259,259,null,null,null,0,null,null,null,null,null,null,null,1599755.00,95985.30,1350873.30,81052.19,248881.70,14933.11,2435,84.44,75915425.00,75915425.00,1111,1795,0.00
2026-02-01,February,Q1,2026,Star Air,XX,680,DXB-YUL,Dubai International Airport,Montréal–Trudeau International Airport,Available,Active,Star Air,236,236,15,32,292,339,69.62,220492.00000000,205112.4800000,13229.52000000,2150.00000000,19844.54000000,236,1245755.00,74745.30,1051120.01,63067.16,194634.99,11678.14,2166,84.38,114744130.00,114744130.00,1016,1528,0.00
2025-02-04,February,Q1,2025,Star Air,XX,808,PEW-DXB,Bacha Khan International Airport,Dubai International Airport,Not Available,null,Star Air,246,246,null,null,null,0,null,null,null,null,null,null,null,1381815.00,82908.90,1169411.66,70164.79,212403.34,12744.11,2552,84.63,120782010.00,120782010.00,1522,2867,0.00
2025-05-08,May,Q2,2025,Star Air,XX,970,BKK-DXB,Suvarnabhumi Airport,Dubai International Airport,Available,Active,Star Air,222,222,16,33,296,345,64.35,525433.59303900,485164.7727859,31526.01558234,8742.80467100,105086.91417915,222,867895.00,52073.70,736523.98,43616.40,131371.02,8457.30,893,84.86,369646948.00,369646948.00,2740,7425,0.00
2026-02-05,February,Q1,2026,Star Air,XX,924,HAN-DXB,Noi Bai International Airport,Dubai International Airport,Not Available,null,Star Air,266,266,null,null,null,0,null,null,null,null,null,null,null,1328170.00,79690.20,1118446.41,67106.74,209723.59,12583.46,1909,84.21,43510826.00,43510826.00,989,1504,0.00
2025-06-06,June,Q2,2025,Star Air,XX,745,MEL-DXB,Melbourne Airport (MEL),Dubai International Airport,Available,Active,Star Air,247,247,11,22,298,331,74.62,1002971.47907500,927130.4209114,60178.28874450,15662.76941900,180537.08703323,247,992575.00,59554.50,838545.13,50312.59,154029.87,9241.91,1742,84.48,662189911.00,662189911.00,3608,13001,0.00
2025-04-24,April,Q2,2025,Star Air,XX,106,DXB-COK,Dubai International Airport,Cochin International Airport,Not Available,null,Star Air,232,232,null,null,null,0,null,null,null,null,null,null,null,1434590.00,86075.40,1213482.52,72388.67,221107.48,13686.73,2166,84.59,110602549.00,110602549.00,1292,2285,0.00
2025-10-14,October,Q4,2025,Star Air,XX,148,DXB-SIN,Dubai International Airport,Singapore Changi Airport (SIN),Not Available,null,Star Air,247,247,null,null,null,0,null,null,null,null,null,null,null,713855.00,42831.30,603072.61,36184.23,110782.39,6647.07,1460,84.48,641613672.00,641613672.00,3611,13083,0.00
2026-03-24,March,Q1,2026,Star Air,XX,253,DXB-MRU,Dubai International Airport,Sir Seewoosagur Ramgoolam International Airport,Not Available,null,Star Air,244,244,null,null,null,0,null,null,null,null,null,null,null,1445225.00,86713.50,1223839.51,73430.28,221385.49,13283.22,1962,84.68,108048493.00,108048493.00,821,1137,0.00
2026-01-30,January,Q1,2026,Star Air,XX,231,DXB-MEL,Dubai International Airport,Melbourne Airport (MEL),Not Available,null,Star Air,247,247,null,null,null,0,null,null,null,null,null,null,null,793220.00,47593.20,673099.32,40386.00,120120.68,7207.20,1264,84.86,57529548.00,57529548.00,1000,1556,0.00
2025-08-08,August,Q3,2025,Star Air,XX,246,DXB-MEL,Dubai International Airport,Melbourne Airport (MEL),Not Available,null,Star Air,245,245,null,null,null,0,null,null,null,null,null,null,null,929115.00,55746.90,784436.64,47066.28,144678.37,8680.62,1757,84.43,482397964.00,482397964.00,3145,9577,0.00
2025-09-08,September,Q3,2025,Star Air,XX,672,DXB-SYD,Dubai International Airport,Sydney Kingsford Smith Airport (SYD),Not Available,null,Star Air,247,247,null,null,null,0,null,null,null,null,null,null,null,938495.00,56309.70,797977.84,47878.48,140517.16,8431.22,1500,85.03,511934806.00,511934806.00,3238,10019,0.00
2025-03-01,March,Q1,2025,Star Air,XX,235,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,260,260,16,34,295,345,75.36,508463.58772700,468931.9661584,30507.81526362,9023.80630600,91497.50451097,260,1170245.00,70214.70,988932.79,59336.13,181312.21,10878.57,2520,84.51,98992460.00,98992460.00,1515,2953,0.00
2025-02-13,February,Q1,2025,Star Air,XX,192,CHC-DXB,Christchurch Airport,Dubai International Airport,Available,Active,Star Air,245,245,8,24,295,327,74.92,226336.66342300,210200.7004190,13580.19980538,2555.76319800,33950.78489097,245,774225.00,46453.50,653777.73,39226.65,120447.27,7226.85,1502,84.44,56736053.00,56736053.00,1540,2914,0.00
2025-04-05,April,Q2,2025,Star Air,XX,235,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,245,245,16,34,295,345,71.01,465581.12359000,430609.3999418,27934.86741540,7036.85623200,83805.91726912,245,839500.00,50370.00,710072.98,42604.28,129427.02,7765.72,1606,84.58,80602051.00,80602051.00,1499,2693,0.00
2025-12-12,December,Q4,2025,Star Air,XX,651,DXB-MIL,Dubai International Airport,Milan–Malpensa Airport,Not Available,null,Star Air,245,245,null,null,null,0,null,null,null,null,null,null,null,778395.00,46703.70,658116.27,39486.99,120278.74,7216.71,1727,84.55,62761817.00,62761817.00,1136,1866,0.00
2026-03-28,March,Q1,2026,Star Air,XX,270,DXB-BKK,Dubai International Airport,Suvarnabhumi Airport,Not Available,null,Star Air,242,242,null,null,null,0,null,null,null,null,null,null,null,1870505.00,112230.30,1577774.36,94666.52,292730.64,17563.78,2890,84.35,84072983.00,84072983.00,804,1081,0.00
2026-02-14,February,Q1,2026,Star Air,XX,998,DXB-LHE,Dubai International Airport,Allama Iqbal International Airport,Available,Active,Star Air,242,242,10,21,286,317,76.34,208440.00000000,192886.6000000,12506.40000000,3047.00000000,16675.17000000,242,1196760.00,71805.60,1007213.96,60432.58,189546.04,11373.02,2353,84.16,274913375.00,274913375.00,970,1471,0.00
2026-01-24,January,Q1,2026,Star Air,XX,529,ORD-DXB,O'Hare International Airport (ORD),Dubai International Airport,Available,Active,Star Air,244,244,10,30,295,335,72.84,839031.50195900,774400.4723692,50341.89011754,14289.13947100,92292.55630762,244,1235185.00,74111.10,1043775.92,62626.35,191409.08,11484.75,2427,84.50,106861969.00,106861969.00,982,1541,0.00
2025-04-16,April,Q2,2025,Star Air,XX,542,DXB-ORD,Dubai International Airport,O'Hare International Airport (ORD),Not Available,null,Star Air,245,245,null,null,null,0,null,null,null,null,null,null,null,1590985.00,95459.10,1348970.83,77659.90,242014.17,17799.20,1693,84.79,72378656.00,72378656.00,1407,2485,0.00
2025-08-05,August,Q3,2025,Star Air,XX,181,DXB-ZRH,Dubai International Airport,Zurich Airport (ZRH),Not Available,null,Star Air,243,243,null,null,null,0,null,null,null,null,null,null,null,1110480.00,66628.80,938948.36,56336.72,171531.64,10292.08,2490,84.55,372922389.00,372922389.00,3106,9583,0.00
2025-10-14,October,Q4,2025,Star Air,XX,771,DXB-BKK,Dubai International Airport,Suvarnabhumi Airport,Not Available,null,Star Air,240,240,null,null,null,0,null,null,null,null,null,null,null,713855.00,42831.30,603072.61,36184.23,110782.39,6647.07,1460,84.48,641613672.00,641613672.00,3611,13083,0.00
2026-01-11,January,Q1,2026,Star Air,XX,229,BKK-DXB,Suvarnabhumi Airport,Dubai International Airport,Available,Active,Star Air,244,244,13,29,300,342,71.35,519248.71044500,482975.9081079,31154.92262670,5117.87971000,109042.25288576,244,1549245.00,92954.70,1313578.58,78814.78,235666.42,14139.92,2218,84.79,56971014.00,56971014.00,1007,1538,0.00
2025-01-27,January,Q1,2025,Star Air,XX,892,DXB-DFW,Dubai International Airport,Dallas/Fort Worth International Airport (DFW,Available,Active,Star Air,259,259,8,37,292,337,76.85,1065970.00000000,989660.8000000,63958.20000000,12351.00000000,106596.34000000,259,819160.00,49149.60,696541.57,41792.39,122618.43,7357.21,1507,85.03,178072316.00,178072316.00,1537,2920,0.00
2025-02-22,February,Q1,2025,Star Air,XX,658,DXB-CHC,Dubai International Airport,Christchurch Airport,Available,Active,Star Air,243,243,14,37,295,346,70.23,225612.00000000,208364.2800000,13536.72000000,3711.00000000,38353.08000000,243,760765.00,45645.90,644208.47,38652.35,116556.54,6993.55,2005,84.68,191306160.00,191306160.00,1532,2858,0.00
2025-07-03,July,Q3,2025,Star Air,XX,153,DXB-BNE,Dubai International Airport,Brisbane Airport (BNE),Not Available,null,Star Air,241,241,null,null,null,0,null,null,null,null,null,null,null,1742820.00,104569.20,1475923.32,88555.45,266896.68,16013.75,2471,84.69,541115302.00,541115302.00,3320,10584,0.00
2026-03-26,March,Q1,2026,Star Air,XX,560,FRA-DXB,Frankfurt Airport (FRA),Dubai International Airport,Not Available,null,Star Air,270,270,null,null,null,0,null,null,null,null,null,null,null,1065770.00,63946.20,900496.16,54029.62,165273.84,9916.58,2191,84.49,27680537.00,27680537.00,747,1058,0.00
2025-01-22,January,Q1,2025,Star Air,XX,453,DXB-MUC,Dubai International Airport,Munich Airport (MUC),Available,Active,Star Air,259,259,8,22,292,322,80.43,225478.00000000,208859.3200000,13528.68000000,3090.00000000,22547.34000000,259,812405.00,48744.30,687408.97,41244.61,124996.03,7499.69,1465,84.61,88391402.00,88391402.00,1514,2793,0.00
2025-07-23,July,Q3,2025,Star Air,XX,529,DXB-ORD,Dubai International Airport,O'Hare International Airport (ORD),Not Available,null,Star Air,213,213,null,null,null,0,null,null,null,null,null,null,null,1564875.00,93892.50,1324143.87,79448.74,240731.13,14443.76,1957,84.62,428373658.00,428373658.00,3171,9796,0.00
2025-10-26,October,Q4,2025,Star Air,XX,650,DXB-YUL,Dubai International Airport,Montréal–Trudeau International Airport,Available,Active,Star Air,242,242,6,20,285,311,77.81,212302.00000000,197838.8800000,12738.12000000,1725.00000000,21230.74000000,242,1937010.00,116220.60,1635603.65,98136.03,301406.36,18084.57,2608,84.44,588571092.00,588571092.00,3862,15043,0.00
2025-04-15,April,Q2,2025,Star Air,XX,163,DXB-BKK,Dubai International Airport,Suvarnabhumi Airport,Not Available,null,Star Air,246,246,null,null,null,0,null,null,null,null,null,null,null,1596240.00,95774.40,1355037.14,81347.86,241202.87,14426.54,3135,84.89,133787524.00,133787524.00,1404,2469,0.00
2025-12-27,December,Q4,2025,Star Air,XX,253,MRU-DXB,Sir Seewoosagur Ramgoolam International Airport,Dubai International Airport,Available,Active,Star Air,235,235,7,39,294,340,69.12,462469.10899200,430490.5071374,27748.14653952,4230.45531500,27748.17174253,235,1856685.00,111401.10,1569781.51,94186.65,286903.49,17214.45,3449,84.55,126413113.00,126413113.00,1142,1805,0.00
2026-01-10,January,Q1,2026,Star Air,XX,161,SYD-DXB,Sydney Kingsford Smith Airport (SYD),Dubai International Airport,Available,Active,Star Air,245,245,10,38,295,343,71.43,564385.13398000,521649.8142895,33863.10803880,8872.21165200,112879.19272450,245,1311265.00,78675.90,1112034.91,66722.11,199230.09,11953.79,2144,84.81,86115398.00,86115398.00,992,1533,0.00
2025-02-09,February,Q1,2025,Star Air,XX,989,COK-DXB,Cochin International Airport,Dubai International Airport,Available,Active,Star Air,239,239,10,26,282,318,75.16,189903.47411900,176334.8961578,11394.20844714,2174.36951300,17091.17514549,239,2555820.00,153349.20,2158625.33,129517.72,397194.67,23831.48,3558,84.46,102497968.00,102497968.00,1492,2918,0.00
