Settlement_Date,month_name,quarter_label,year,Carrier_Name,Carrier_Code,Currency,Sales_Value,Sales_Commission,Sales_Discount,Sales_Tax,Sales_Ticket_Count,Billing_Value,Billing_Commission,Billing_Discount,Billing_Ticket_Count,Settlement_Value,Settlement_Commission,Settlement_Discount,Rejected_Value,Rejected_Commission,Settlement_Diff,Settlement_Diff_Pct,FX_Variance,Acceptance_Rate_Pct
2026-01-10,January,Q1,2026,Star Air,XX,USD,44617.00,2677.02,508.00,4612.62,40,1311265.00,78675.90,16205.00,2144,1112034.91,66722.11,13859.82,199230.09,11953.79,199230.09,15.19,-1266648.00,84.81
2026-01-07,January,Q1,2026,Star Air,XX,USD,77266.00,4635.96,1209.00,8231.86,64,834205.00,50052.30,11915.00,1686,703252.77,42195.14,9970.20,130952.23,7857.16,130952.23,15.70,-756939.00,84.30
2025-11-23,November,Q4,2025,Star Air,XX,USD,62490.00,3749.40,1168.00,6418.35,60,1825380.00,109522.80,38440.00,2204,1540717.61,92442.86,24706.30,284662.39,17079.94,284662.39,15.59,-1762890.00,84.41
2026-01-04,January,Q1,2026,Star Air,XX,USD,51595.00,3095.70,990.00,5348.66,52,1650485.00,99029.10,26875.00,2672,1397642.33,83858.64,22792.53,252842.67,15170.46,252842.67,15.32,-1598890.00,84.68
2025-12-21,December,Q4,2025,Star Air,XX,USD,61682.00,3700.92,1275.00,6410.05,66,1539235.00,92354.10,37680.00,1932,1303215.82,78193.06,20572.21,236019.18,14161.04,236019.18,15.33,-1477553.00,84.67
2026-03-13,March,Q1,2026,Star Air,XX,USD,25652.00,1539.12,468.00,2516.57,23,1828715.00,109722.90,27170.00,2351,1552804.93,93168.22,23399.45,275910.07,16554.68,275910.07,15.09,-1803063.00,84.91
2025-10-30,October,Q4,2025,Star Air,XX,USD,63690.00,3821.40,1254.00,6712.81,74,1601425.00,96085.50,26515.00,2381,1353026.79,81181.61,19675.54,248398.21,14903.89,248398.21,15.51,-1537735.00,84.49
2025-02-14,February,Q1,2025,Star Air,XX,USD,118510.00,7110.60,1017.00,12461.24,123,932165.00,55929.90,13410.00,2035,790316.75,47418.78,11267.48,141848.25,8511.12,141848.25,15.22,-813655.00,84.78
2025-08-12,August,Q3,2025,Star Air,XX,USD,448247.00,26894.82,6784.00,47067.43,455,836385.00,50183.10,13170.00,1473,704816.86,42288.85,11188.09,131568.14,7894.25,131568.14,15.73,-388138.00,84.27
2025-07-28,July,Q3,2025,Star Air,XX,USD,412554.00,24753.24,6881.00,43484.81,421,629640.00,37778.40,8805.00,991,529898.00,31793.91,7414.78,99742.00,5984.49,99742.00,15.84,-217086.00,84.16
2025-03-28,March,Q1,2025,Star Air,XX,USD,72860.00,4371.60,1628.00,7432.10,71,847795.00,50867.70,12195.00,1809,715999.38,42959.96,10388.78,131795.62,7907.74,131795.62,15.55,-774935.00,84.45
2025-02-24,February,Q1,2025,Star Air,XX,USD,93536.00,5612.16,1652.00,9908.99,87,288705.00,17322.30,3840.00,779,245535.36,14732.08,3247.91,43169.64,2590.22,43169.64,14.95,-195169.00,85.05
2025-07-11,July,Q3,2025,Star Air,XX,USD,404356.00,24261.36,9688.00,41413.76,398,962125.00,57727.50,13580.00,1494,815006.15,48900.28,11614.28,147118.85,8827.22,147118.85,15.29,-557769.00,84.71
2025-08-21,August,Q3,2025,Star Air,XX,USD,452660.00,27159.60,9817.00,47435.88,479,1122100.00,67326.00,17695.00,1711,946100.89,56766.11,14945.01,175999.12,10559.89,175999.11,15.68,-669440.00,84.32
2025-08-23,August,Q3,2025,Star Air,XX,USD,433732.00,26023.92,9715.00,45166.01,483,1084425.00,65065.50,15990.00,1921,914777.87,54886.35,13560.15,169647.15,10179.15,169647.13,15.64,-650693.00,84.36
2025-09-07,September,Q3,2025,Star Air,XX,USD,545044.00,32702.64,12960.00,56514.15,575,1499355.00,89961.30,24840.00,1926,1274284.77,76456.97,21097.87,225070.23,13504.33,225070.23,15.01,-954311.00,84.99
2025-01-24,January,Q1,2025,Star Air,XX,USD,130987.00,7859.22,1995.00,13380.88,128,1379025.00,82741.50,19290.00,3099,1169094.03,70145.63,16309.67,209930.97,12595.87,209930.97,15.22,-1248038.00,84.78
2025-08-15,August,Q3,2025,Star Air,XX,USD,471592.00,28295.52,10865.00,48852.45,498,946815.00,56808.90,14000.00,1707,801956.55,48117.58,11996.09,144858.46,8691.32,144858.45,15.30,-475223.00,84.70
2025-06-26,June,Q2,2025,Star Air,XX,USD,432599.00,25955.94,8446.00,45099.74,370,1112115.00,66726.90,15935.00,1480,938490.04,49892.86,13420.37,173624.96,16834.04,173624.96,15.61,-679516.00,84.39
2025-04-13,April,Q2,2025,Star Air,XX,USD,579440.00,34766.40,8786.00,60019.08,581,1726240.00,103574.40,24295.00,2153,1454612.63,87276.39,20473.50,271627.37,16298.01,271627.37,15.74,-1146800.00,84.26
2025-07-22,July,Q3,2025,Star Air,XX,USD,431035.00,25862.10,10319.00,44581.50,421,749230.00,44953.80,9920.00,1436,634846.61,38090.89,8447.00,114383.39,6862.91,114383.39,15.27,-318195.00,84.73
2025-07-20,July,Q3,2025,Star Air,XX,USD,385114.00,23106.84,6986.00,39538.43,350,2147525.00,128851.50,33630.00,2678,1820365.83,109221.99,28550.82,327159.18,19629.51,327159.17,15.23,-1762411.00,84.77
2025-07-25,July,Q3,2025,Star Air,XX,USD,379925.00,22795.50,9424.00,39305.69,395,1195415.00,71724.90,18510.00,2506,1007944.63,60476.55,15619.19,187470.38,11248.35,187470.37,15.68,-815490.00,84.32
2025-08-16,August,Q3,2025,Star Air,XX,USD,477131.00,28627.86,12211.00,49782.10,518,2072330.00,124339.80,29050.00,3120,1748344.36,104900.47,24571.33,323985.64,19439.33,323985.64,15.63,-1595199.00,84.37
2025-01-31,January,Q1,2025,Star Air,XX,USD,109261.00,6555.66,3468.00,11535.69,105,562260.00,33735.60,6765.00,1278,471924.44,28315.49,5763.32,90335.56,5420.11,90335.56,16.07,-452999.00,83.93
2025-03-31,March,Q1,2025,Star Air,XX,USD,64367.00,3862.02,463.00,6683.79,62,799225.00,47953.50,11130.00,1291,678401.26,40703.88,9497.39,120823.74,7249.62,120823.74,15.12,-734858.00,84.88
2025-01-23,January,Q1,2025,Star Air,XX,USD,119407.00,7164.42,2209.00,12238.43,125,1106310.00,66378.60,14780.00,2195,931999.99,55919.93,12429.48,174310.01,10458.67,174310.01,15.76,-986903.00,84.24
2025-08-13,August,Q3,2025,Star Air,XX,USD,437670.00,26260.20,14651.00,45709.44,474,954740.00,57284.40,16190.00,1657,809543.83,48572.43,13674.05,145196.18,8711.97,145196.17,15.21,-517070.00,84.79
2026-03-08,March,Q1,2026,Star Air,XX,USD,18957.00,1137.42,340.00,1845.57,17,550675.00,33040.50,9475.00,990,462220.16,27733.19,7949.93,88454.84,5307.31,88454.84,16.06,-531718.00,83.94
2026-02-03,February,Q1,2026,Star Air,XX,USD,52879.00,3172.74,544.00,5505.23,51,1103680.00,66220.80,17265.00,2190,929639.00,55778.22,14723.51,174041.01,10442.58,174041.00,15.77,-1050801.00,84.23
2026-03-09,March,Q1,2026,Star Air,XX,USD,16553.00,993.18,324.00,1740.18,18,1119325.00,67159.50,14520.00,2678,945463.22,56727.65,12280.76,173861.78,10431.85,173861.78,15.53,-1102772.00,84.47
2025-01-06,January,Q1,2025,Star Air,XX,USD,112985.00,6779.10,1274.00,11584.13,125,442035.00,26522.10,6030.00,1028,372903.92,22374.17,5089.63,69131.08,4147.93,69131.08,15.64,-329050.00,84.36
2025-02-03,February,Q1,2025,Star Air,XX,USD,98451.00,5907.06,738.00,10258.07,100,215560.00,12933.60,2725.00,760,181006.65,10860.45,2309.46,34553.35,2073.15,34553.35,16.03,-117109.00,83.97
2025-07-04,July,Q3,2025,Star Air,XX,USD,419140.00,25148.40,11155.00,43849.35,396,724440.00,43466.40,10475.00,1257,615982.26,36958.95,8910.37,108457.74,6507.45,108457.74,14.97,-305300.00,85.03
2025-09-20,September,Q3,2025,Star Air,XX,USD,626427.00,37585.62,12612.00,65308.03,661,1261170.00,75670.20,19335.00,2159,1066608.11,63996.50,16305.64,194561.91,11673.70,194561.89,15.43,-634743.00,84.57
2025-08-18,August,Q3,2025,Star Air,XX,USD,477058.00,28623.48,11121.00,49858.65,491,788995.00,47339.70,11790.00,1256,664261.09,39855.55,9934.64,124733.91,7484.15,124733.91,15.81,-311937.00,84.19
2025-07-16,July,Q3,2025,Star Air,XX,USD,396144.00,23768.64,10389.00,41556.17,389,1093865.00,65631.90,16620.00,1448,927865.08,55672.02,13954.34,165999.92,9959.88,165999.92,15.18,-697721.00,84.82
2025-12-25,December,Q4,2025,Star Air,XX,USD,53143.00,3188.58,688.00,5511.49,61,738950.00,44337.00,13760.00,1710,624747.17,37484.97,10495.51,114202.83,6852.03,114202.83,15.45,-685807.00,84.55
2025-03-23,March,Q1,2025,Star Air,XX,USD,79875.00,4792.50,1475.00,8358.88,85,1263525.00,75811.50,19775.00,2013,1067083.72,64025.03,16606.38,196441.29,11786.47,196441.28,15.55,-1183650.00,84.45
2025-02-26,February,Q1,2025,Star Air,XX,USD,99807.00,5988.42,1674.00,10188.76,103,1618795.00,97127.70,24310.00,2702,1373583.38,82415.05,20777.17,245211.63,14712.65,245211.62,15.15,-1518988.00,84.85
2025-03-11,March,Q1,2025,Star Air,XX,USD,97330.00,5839.80,1183.00,10124.11,105,765285.00,45917.10,9915.00,2264,648371.30,38902.14,8326.65,116913.70,7014.96,116913.70,15.28,-667955.00,84.72
2025-03-12,March,Q1,2025,Star Air,XX,USD,101875.00,6112.50,1182.00,10536.42,105,1585645.00,95138.70,23775.00,2061,1333524.79,80011.31,20009.29,252120.21,15127.39,252120.21,15.90,-1483770.00,84.10
2025-06-17,June,Q2,2025,Star Air,XX,USD,428496.00,25709.76,9439.00,44992.42,416,790975.00,47458.50,12530.00,1698,669395.06,40237.55,10726.68,121579.94,7220.95,121579.94,15.37,-362479.00,84.63
2025-06-08,June,Q2,2025,Star Air,XX,USD,432213.00,25932.78,6632.00,45441.86,419,1780420.00,106825.20,26990.00,2191,1503547.26,89679.40,22610.76,276872.74,17145.80,276872.74,15.55,-1348207.00,84.45
2025-12-03,December,Q4,2025,Star Air,XX,USD,57240.00,3434.40,1091.00,5855.02,63,1729560.00,103773.60,43245.00,2451,1458124.88,87487.38,21716.23,271435.13,16286.22,271435.12,15.69,-1672320.00,84.31
2025-11-15,November,Q4,2025,Star Air,XX,USD,78866.00,4731.96,1037.00,8261.30,84,1318430.00,79105.80,71075.00,2185,1110461.15,66627.79,14389.32,207968.85,12478.01,207968.85,15.77,-1239564.00,84.23
2026-03-17,March,Q1,2026,Star Air,XX,USD,17508.00,1050.48,228.00,1754.39,16,1498555.00,89913.30,24915.00,2154,1267629.04,76057.68,21173.46,230925.97,13855.62,230925.96,15.41,-1481047.00,84.59
2026-03-21,March,Q1,2026,Star Air,XX,USD,6771.00,406.26,0.00,706.34,6,1518300.00,91098.00,23185.00,2171,1287161.92,77229.96,19709.44,231138.08,13868.04,231138.08,15.22,-1511529.00,84.78
2025-11-10,November,Q4,2025,Star Air,XX,USD,71560.00,4293.60,1072.00,7478.18,82,563435.00,33806.10,19390.00,934,478081.10,28684.88,6869.70,85353.90,5121.22,85353.90,15.15,-491875.00,84.85
2026-01-30,January,Q1,2026,Star Air,XX,USD,48746.00,2924.76,1085.00,4984.92,45,793220.00,47593.20,13245.00,1264,673099.32,40386.00,11301.73,120120.68,7207.20,120120.68,15.14,-744474.00,84.86
2025-03-21,March,Q1,2025,Star Air,XX,USD,79279.00,4756.74,840.00,8312.77,84,657765.00,39465.90,10395.00,1241,557991.25,33479.51,8791.59,99773.75,5986.39,99773.75,15.17,-578486.00,84.83
2025-05-04,May,Q2,2025,Star Air,XX,USD,503567.00,30214.02,5219.00,52892.06,469,1646470.00,98788.20,24445.00,2157,1391148.70,83468.80,20574.10,255321.30,15319.40,255321.30,15.51,-1142903.00,84.49
2025-05-28,May,Q2,2025,Star Air,XX,USD,379616.00,22776.96,8314.00,39886.77,390,2229535.00,133772.10,34990.00,3111,1886041.72,109765.19,29846.90,343493.28,24006.91,343493.28,15.41,-1849919.00,84.59
2025-07-03,July,Q3,2025,Star Air,XX,USD,404664.00,24279.84,9042.00,41910.63,396,1742820.00,104569.20,25190.00,2471,1475923.32,88555.45,21181.49,266896.68,16013.75,266896.68,15.31,-1338156.00,84.69
2025-03-09,March,Q1,2025,Star Air,XX,USD,95559.00,5733.54,986.00,9960.90,98,1426555.00,85593.30,19315.00,2004,1208263.54,72495.83,16225.42,218291.46,13097.47,218291.46,15.30,-1330996.00,84.70
2025-02-16,February,Q1,2025,Star Air,XX,USD,107678.00,6460.68,1260.00,11106.55,110,2097090.00,125825.40,34140.00,2696,1774072.65,106444.16,28704.34,323017.35,19381.24,323017.35,15.40,-1989412.00,84.60
2025-02-08,February,Q1,2025,Star Air,XX,USD,99943.00,5996.58,1803.00,10662.44,108,1147305.00,68838.30,15965.00,1760,968206.20,58092.45,13458.99,179098.80,10745.85,179098.80,15.61,-1047362.00,84.39
2025-04-08,April,Q2,2025,Star Air,XX,USD,652686.00,39161.16,10419.00,67947.28,634,1234630.00,74077.80,17530.00,1961,1050434.17,63094.22,14938.95,184195.83,10983.58,184195.83,14.92,-581944.00,85.08
2025-06-24,June,Q2,2025,Star Air,XX,USD,374781.00,22486.86,8614.00,38900.45,378,590625.00,35437.50,8170.00,1441,497140.94,29858.77,6876.81,93484.07,5578.73,93484.06,15.83,-215844.00,84.17
2025-07-12,July,Q3,2025,Star Air,XX,USD,424654.00,25479.24,12187.00,43954.73,408,1729400.00,103764.00,22925.00,2417,1459598.15,87575.88,19522.17,269801.86,16188.12,269801.85,15.60,-1304746.00,84.40
2025-08-03,August,Q3,2025,Star Air,XX,USD,382396.00,22943.76,9674.00,40047.97,403,2118770.00,127126.20,31875.00,2201,1794052.67,107643.21,27213.27,324717.34,19482.99,324717.33,15.33,-1736374.00,84.67
2025-08-24,August,Q3,2025,Star Air,XX,USD,501965.00,30117.90,13941.00,52519.25,520,2028760.00,121725.60,27525.00,2460,1724129.34,103447.86,23361.57,304630.67,18277.74,304630.66,15.02,-1526795.00,84.98
2025-07-15,July,Q3,2025,Star Air,XX,USD,392406.00,23544.36,7940.00,40792.20,411,1377680.00,82660.80,18940.00,2213,1163447.38,69806.92,16250.21,214232.62,12853.88,214232.62,15.55,-985274.00,84.45
2025-09-15,September,Q3,2025,Star Air,XX,USD,637951.00,38277.06,12730.00,66699.35,675,916870.00,55012.20,13005.00,1465,777925.33,46675.38,10894.90,138944.68,8336.82,138944.67,15.15,-278919.00,84.85
2025-08-31,August,Q3,2025,Star Air,XX,USD,516311.00,30978.66,11020.00,54083.44,549,1463170.00,87790.20,21185.00,1934,1233925.49,74035.59,17868.22,229244.51,13754.61,229244.51,15.67,-946859.00,84.33
2025-10-07,October,Q4,2025,Star Air,XX,USD,67276.00,4036.56,1613.00,6950.48,74,1479250.00,88755.00,35380.00,2424,1251169.15,75070.24,18260.55,228080.85,13684.76,228080.85,15.42,-1411974.00,84.58
2025-10-23,October,Q4,2025,Star Air,XX,USD,87966.00,5277.96,1705.00,9223.33,84,1164520.00,69871.20,26830.00,1679,987234.70,59234.11,14226.31,177285.31,10637.09,177285.30,15.22,-1076554.00,84.78
2026-01-18,January,Q1,2026,Star Air,XX,USD,60289.00,3617.34,386.00,6368.09,55,1126165.00,67569.90,14440.00,1644,955836.60,57350.05,12220.36,170328.41,10219.85,170328.40,15.12,-1065876.00,84.88
2025-10-01,October,Q4,2025,Star Air,XX,USD,94520.00,5671.20,1231.00,9680.95,100,1751220.00,105073.20,48720.00,2917,1482737.89,88964.28,22472.76,268482.12,16108.92,268482.11,15.33,-1656700.00,84.67
2026-03-06,March,Q1,2026,Star Air,XX,USD,33249.00,1994.94,440.00,3476.40,34,1356005.00,81360.30,24445.00,2154,1151570.35,69094.14,20763.84,204434.65,12266.16,204434.65,15.08,-1322756.00,84.92
2026-02-07,February,Q1,2026,Star Air,XX,USD,61325.00,3679.50,1522.00,6354.41,52,1132445.00,67946.70,14585.00,1678,961415.72,57684.79,12420.61,171029.28,10261.91,171029.28,15.10,-1071120.00,84.90
2025-11-21,November,Q4,2025,Star Air,XX,USD,60203.00,3612.18,1507.00,6201.93,62,914765.00,54885.90,56855.00,1943,774053.09,46443.33,13704.08,140711.91,8442.57,140711.91,15.38,-854562.00,84.62
2025-10-31,October,Q4,2025,Star Air,XX,USD,53173.00,3190.38,1145.00,5645.15,66,494765.00,29685.90,52100.00,980,421003.02,25260.18,7771.20,73761.99,4425.72,73761.98,14.91,-441592.00,85.09
2025-10-13,October,Q4,2025,Star Air,XX,USD,60534.00,3632.04,1130.00,6234.67,62,730430.00,43825.80,27285.00,1452,620005.95,37200.37,10242.30,110424.05,6625.43,110424.05,15.12,-669896.00,84.88
2025-10-11,October,Q4,2025,Star Air,XX,USD,76195.00,4571.70,1363.00,7889.43,87,975540.00,58532.40,35390.00,1938,828481.77,49709.03,13401.29,147058.23,8823.37,147058.23,15.07,-899345.00,84.93
2026-02-28,February,Q1,2026,Star Air,XX,USD,39114.00,2346.84,872.00,3962.43,39,842835.00,50570.10,12490.00,1743,715507.78,42930.47,10619.23,127327.22,7639.63,127327.22,15.11,-803721.00,84.89
2025-04-17,April,Q2,2025,Star Air,XX,USD,503993.00,30239.58,7170.00,53099.38,492,1174065.00,70443.90,18005.00,1714,998255.01,56999.10,15672.50,175809.99,13444.80,175809.99,14.97,-670072.00,85.03
2025-03-06,March,Q1,2025,Star Air,XX,USD,79571.00,4774.26,906.00,8301.40,84,1051685.00,63101.10,14915.00,1704,893333.33,53600.10,12637.18,158351.67,9501.00,158351.67,15.06,-972114.00,84.94
2025-05-23,May,Q2,2025,Star Air,XX,USD,476720.00,28603.20,8662.00,49544.68,449,1339310.00,80358.60,19955.00,2489,1130327.59,67819.89,16865.73,208982.41,12538.71,208982.41,15.60,-862590.00,84.40
2025-05-29,May,Q2,2025,Star Air,XX,USD,433623.00,26017.38,11362.00,45011.94,439,1324225.00,79453.50,18785.00,1440,1120336.36,66298.97,15997.74,203888.64,13154.53,203888.64,15.40,-890602.00,84.60
2025-07-27,July,Q3,2025,Star Air,XX,USD,406657.00,24399.42,10568.00,42564.31,420,2491775.00,149506.50,39365.00,2947,2104564.54,126273.71,33408.18,387210.46,23232.79,387210.46,15.54,-2085118.00,84.46
2025-09-10,September,Q3,2025,Star Air,XX,USD,587345.00,35240.70,14190.00,61669.87,649,1578140.00,94688.40,25065.00,2488,1337050.90,80222.62,21165.47,241089.11,14465.78,241089.10,15.28,-990795.00,84.72
2025-09-21,September,Q3,2025,Star Air,XX,USD,580141.00,34808.46,11211.00,60828.54,646,2711495.00,162689.70,38150.00,3572,2291691.94,137501.27,32271.60,419803.06,25188.43,419803.06,15.48,-2131354.00,84.52
2025-07-26,July,Q3,2025,Star Air,XX,USD,460405.00,27624.30,12292.00,47917.59,437,1424110.00,85446.60,21775.00,2206,1205189.50,72311.33,18543.76,218920.50,13135.27,218920.50,15.37,-963705.00,84.63
2025-01-15,January,Q1,2025,Star Air,XX,USD,115107.00,6906.42,1415.00,11984.23,119,638695.00,38321.70,12300.00,1295,544565.70,32673.81,10563.26,94129.30,5647.89,94129.30,14.74,-523588.00,85.26
2025-07-31,July,Q3,2025,Star Air,XX,USD,490555.00,29433.30,11019.00,51133.83,479,851170.00,51070.20,12895.00,1209,723795.49,43427.78,10868.32,127374.51,7642.42,127374.51,14.96,-360615.00,85.04
2025-08-08,August,Q3,2025,Star Air,XX,USD,474790.00,28487.40,11824.00,49089.08,485,929115.00,55746.90,13640.00,1757,784436.64,47066.28,11497.41,144678.37,8680.62,144678.36,15.57,-454325.00,84.43
2025-11-07,November,Q4,2025,Star Air,XX,USD,76575.00,4594.50,1039.00,7954.94,80,625855.00,37551.30,13250.00,1731,532557.84,31953.56,8420.24,93297.17,5597.74,93297.16,14.91,-549280.00,85.09
2025-06-21,June,Q2,2025,Star Air,XX,USD,410261.00,24615.66,8363.00,43126.70,384,1022490.00,61349.40,14725.00,1656,869023.57,51876.38,12630.57,153466.43,9473.02,153466.43,15.01,-612229.00,84.99
2025-09-16,September,Q3,2025,Star Air,XX,USD,651860.00,39111.60,12688.00,67594.28,680,1515905.00,90954.30,23390.00,2349,1282077.33,76924.68,19729.80,233827.68,14029.62,233827.67,15.42,-864045.00,84.58
2025-11-09,November,Q4,2025,Star Air,XX,USD,81630.00,4897.80,4100.00,8470.08,77,1877420.00,112645.20,396685.00,2664,1586554.68,95193.09,21172.35,290865.32,17452.11,290865.32,15.49,-1795790.00,84.51
2025-01-03,January,Q1,2025,Star Air,XX,USD,115759.00,6945.54,2143.00,12029.21,118,674165.00,40449.90,10935.00,1281,571041.61,34262.66,9198.83,103123.39,6187.24,103123.39,15.30,-558406.00,84.70
2025-02-06,February,Q1,2025,Star Air,XX,USD,87339.00,5240.34,1207.00,9085.05,92,1363780.00,81826.80,16875.00,2070,1155837.30,69350.17,14407.69,207942.70,12476.63,207942.70,15.25,-1276441.00,84.75
2025-02-04,February,Q1,2025,Star Air,XX,USD,130787.00,7847.22,1760.00,13296.28,123,1381815.00,82908.90,20365.00,2552,1169411.66,70164.79,17247.47,212403.34,12744.11,212403.34,15.37,-1251028.00,84.63
2025-01-16,January,Q1,2025,Star Air,XX,USD,118672.00,7120.32,1473.00,12342.73,126,648870.00,38932.20,9790.00,1546,549476.10,32968.57,8262.26,99393.90,5963.63,99393.90,15.32,-530198.00,84.68
2025-08-20,August,Q3,2025,Star Air,XX,USD,448492.00,26909.52,10121.00,46490.88,484,857380.00,51442.80,14030.00,1717,723369.69,43402.27,11865.58,134010.33,8040.53,134010.31,15.63,-408888.00,84.37
2025-12-12,December,Q4,2025,Star Air,XX,USD,51429.00,3085.74,1087.00,5355.14,60,778395.00,46703.70,46995.00,1727,658116.27,39486.99,9459.53,120278.74,7216.71,120278.73,15.45,-726966.00,84.55
2025-10-19,October,Q4,2025,Star Air,XX,USD,95523.00,5731.38,3190.00,9777.55,85,730780.00,43846.80,40090.00,1457,621177.33,37270.65,10199.29,109602.68,6576.15,109602.67,15.00,-635257.00,85.00
2026-01-15,January,Q1,2026,Star Air,XX,USD,81348.00,4880.88,997.00,8536.37,57,1181970.00,70918.20,19455.00,1922,1007629.15,60457.57,16424.14,174340.85,10460.63,174340.85,14.75,-1100622.00,85.25
2025-11-24,November,Q4,2025,Star Air,XX,USD,70255.00,4215.30,1152.00,7300.61,78,706900.00,42414.00,35675.00,1422,598021.03,35881.05,7113.94,108878.97,6532.95,108878.97,15.40,-636645.00,84.60
2026-01-03,January,Q1,2026,Star Air,XX,USD,58541.00,3512.46,697.00,6045.76,63,680615.00,40836.90,9885.00,1483,578293.87,34697.35,8325.40,102321.13,6139.55,102321.13,15.03,-622074.00,84.97
2026-02-20,February,Q1,2026,Star Air,XX,USD,39687.00,2381.22,750.00,4212.21,36,777690.00,46661.40,9275.00,1756,657954.67,39477.13,7857.58,119735.33,7184.27,119735.33,15.40,-738003.00,84.60
2025-01-02,January,Q1,2025,Star Air,XX,USD,100209.00,6012.54,1076.00,10366.06,110,1602480.00,96148.80,26345.00,2842,1355737.85,81344.22,22205.98,246742.15,14804.58,246742.15,15.40,-1502271.00,84.60
2025-01-28,January,Q1,2025,Star Air,XX,USD,124334.00,7460.04,2406.00,13103.06,110,1535550.00,92133.00,21280.00,3004,1299764.44,77985.71,18032.64,235785.56,14147.29,235785.56,15.36,-1411216.00,84.64
2025-04-02,April,Q2,2025,Star Air,XX,USD,767673.00,46060.38,9498.00,79847.39,735,1032240.00,61934.40,14040.00,1935,874327.67,52561.89,11953.25,157912.34,9372.51,157912.33,15.30,-264567.00,84.70
2025-08-04,August,Q3,2025,Star Air,XX,USD,456526.00,27391.56,14329.00,47548.67,464,374860.00,22491.60,5880.00,729,315891.62,18953.46,4992.46,58968.38,3538.14,58968.38,15.73,81666.00,84.27
2025-12-04,December,Q4,2025,Star Air,XX,USD,67658.00,4059.48,501.00,7150.79,65,1359050.00,81543.00,19750.00,2352,1148163.19,68889.84,16243.49,210886.81,12653.16,210886.81,15.52,-1291392.00,84.48
2025-10-17,October,Q4,2025,Star Air,XX,USD,82742.00,4964.52,1323.00,8384.04,71,861195.00,51671.70,56595.00,1938,724820.25,43489.00,10155.42,136374.76,8182.70,136374.75,15.84,-778453.00,84.16
2025-04-06,April,Q2,2025,Star Air,XX,USD,650296.00,39017.76,11499.00,68514.39,657,1689045.00,101342.70,26365.00,1968,1432439.30,85946.35,22511.68,256605.70,15396.35,256605.70,15.19,-1038749.00,84.81
2025-06-09,June,Q2,2025,Star Air,XX,USD,393817.00,23629.02,6903.00,40805.13,391,481050.00,28863.00,6185.00,936,406559.45,24393.70,5230.81,74490.55,4469.30,74490.55,15.48,-87233.00,84.52
2025-04-23,April,Q2,2025,Star Air,XX,USD,506807.00,30408.42,7023.00,52750.22,516,1125160.00,67509.60,17425.00,1226,953196.60,55527.74,14728.02,171963.41,11981.86,171963.40,15.28,-618353.00,84.72
2025-07-05,July,Q3,2025,Star Air,XX,USD,413159.00,24789.54,13477.00,43266.60,435,1999065.00,119943.90,27405.00,2710,1695766.79,101746.16,23420.14,303298.21,18197.74,303298.21,15.17,-1585906.00,84.83
2025-08-09,August,Q3,2025,Star Air,XX,USD,452769.00,27166.14,9268.00,47255.02,461,1336370.00,80182.20,19880.00,2020,1129166.19,67749.87,16801.86,207203.82,12432.33,207203.81,15.50,-883601.00,84.50
2025-09-22,September,Q3,2025,Star Air,XX,USD,711137.00,42668.22,14379.00,74525.05,742,303490.00,18209.40,4255.00,742,257288.95,15437.32,3603.50,46201.05,2772.08,46201.05,15.22,407647.00,84.78
2025-10-21,October,Q4,2025,Star Air,XX,USD,74438.00,4466.28,1043.00,7814.69,86,793375.00,47602.50,17350.00,1679,670625.05,40237.48,9277.13,122749.96,7365.02,122749.95,15.47,-718937.00,84.53
2025-10-29,October,Q4,2025,Star Air,XX,USD,62894.00,3773.64,1471.00,6659.00,64,1825865.00,109551.90,50735.00,2406,1542246.40,92534.95,22072.36,283618.60,17016.95,283618.60,15.53,-1762971.00,84.47
2026-01-13,January,Q1,2026,Star Air,XX,USD,52179.00,3130.74,844.00,5251.29,53,1094965.00,65697.90,16410.00,1934,923068.06,55384.04,13942.63,171896.94,10313.86,171896.94,15.70,-1042786.00,84.30
2026-02-13,February,Q1,2026,Star Air,XX,USD,44033.00,2641.98,875.00,4580.08,44,471045.00,28262.70,8885.00,1176,397173.23,23830.44,7523.15,73871.77,4432.26,73871.77,15.68,-427012.00,84.32
2026-01-23,January,Q1,2026,Star Air,XX,USD,51649.00,3098.94,934.00,5409.63,49,476295.00,28577.70,6730.00,985,403989.83,24239.42,5665.94,72305.17,4338.28,72305.17,15.18,-424646.00,84.82
2025-10-27,October,Q4,2025,Star Air,XX,USD,78080.00,4684.80,646.00,8104.04,78,808110.00,48486.60,19145.00,1484,688111.38,41286.68,9756.50,119998.62,7199.92,119998.62,14.85,-730030.00,85.15
2026-03-07,March,Q1,2026,Star Air,XX,USD,32633.00,1957.98,1564.00,3215.40,22,1440305.00,86418.30,18000.00,2372,1213948.05,72836.81,15141.58,226356.95,13581.49,226356.95,15.72,-1407672.00,84.28
2025-08-06,August,Q3,2025,Star Air,XX,USD,422601.00,25356.06,7605.00,44371.93,435,2003965.00,120237.90,32995.00,2722,1692346.18,101540.81,27710.99,311618.83,18697.09,311618.82,15.55,-1581364.00,84.45
2025-03-04,March,Q1,2025,Star Air,XX,USD,124926.00,7495.56,2591.00,13129.23,120,966960.00,58017.60,14815.00,1957,816997.68,49019.88,12395.49,149962.32,8997.72,149962.32,15.51,-842034.00,84.49
